Marca,Unidade,Segmento,Série,Turno,Turma,RA,Nome do aluno,Origem
ESCOLA MODELO,CENTRO,EF1,2º ANO,TARDE,Anos Iniciais - 2º Ano - Tarde,900000001,ALUNA EXEMPLO UM,Rematrícula
ESCOLA MODELO,CENTRO,EF1,2º ANO,TARDE,Anos Iniciais - 2º Ano - Tarde,900000002,Aluno Exemplo Dois,Rematrícula
ESCOLA MODELO,CENTRO,EF1,2º ANO,TARDE,Anos Iniciais - 2º Ano - Tarde,900000003,ALUNA EXEMPLO TRÊS DE TAL,Rematrícula
ESCOLA MODELO,CENTRO,EF1,2º ANO,TARDE,Anos Iniciais - 2º Ano - Tarde,900000004,aluno exemplo quatro,Rematrícula
ESCOLA MODELO,CENTRO,EF1,2º ANO,TARDE,Anos Iniciais - 2º Ano - Tarde,900000005,Aluna Exemplo Cinco da Costa-Lima,Rematrícula
ESCOLA MODELO,CENTRO,EF1,5º ANO,MANHÃ,Anos Iniciais - 5º Ano - Manhã,900000006,ALUNO EXEMPLO SEIS,Rematrícula
ESCOLA MODELO,CENTRO,EF1,5º ANO,MANHÃ,Anos Iniciais - 5º Ano - Manhã,900000007,Aluna Exemplo Sete,Rematrícula
ESCOLA MODELO,CENTRO,EF1,5º ANO,MANHÃ,Anos Iniciais - 5º Ano - Manhã,900000008,ALUNO EXEMPLO OITO E SILVA.,Rematrícula
ESCOLA MODELO,CENTRO,EF1,5º ANO,MANHÃ,Anos Iniciais - 5º Ano - Manhã,900000009,Aluna Exemplo Nove,Rematrícula
ESCOLA MODELO,CENTRO,EF2,9º ANO,MANHÃ,Anos Finais - 9º Ano - Manhã,900000010,Aluno Exemplo Dez,Rematrícula
ESCOLA MODELO,CENTRO,EF2,9º ANO,MANHÃ,Anos Finais - 9º Ano - Manhã,900000011,ALUNA EXEMPLO ONZE D ÁVILA,Rematrícula
ESCOLA MODELO,CENTRO,EF2,9º ANO,MANHÃ,Anos Finais - 9º Ano - Manhã,900000012,Aluno Exemplo Doze (apelido),Rematrícula
ESCOLA MODELO,CENTRO,EF2,9º ANO,MANHÃ,Anos Finais - 9º Ano - Manhã,900000013,Aluna Exemplo Treze,Rematrícula
ESCOLA MODELO,CENTRO,EF2,9º ANO,MANHÃ,Anos Finais - 9º Ano - Manhã,900000014,Aluno Exemplo Quatorze,Rematrícula
ESCOLA MODELO,CENTRO,EF1,2º ANO,INTEGRAL,Grade 2 Extended Time/Anos Iniciais - 2º Ano - Semi-Integral,900000015,Aluna Exemplo Quinze com Nome Muito Comprido de Teste Final,Rematrícula
ESCOLA MODELO,CENTRO,EF1,2º ANO,INTEGRAL,Grade 2 Extended Time/Anos Iniciais - 2º Ano - Semi-Integral,900000016,Aluno Exemplo Dezesseis,Rematrícula
